http://www.breakingtheviciouscycle.info/legal/legal_illegal_o-s.htm
http://www.calorie-count.com/calories/item/2028.html



Food			kCalories/100g

Almonds			575
Almond oil		884
Anchovies		226
Apple cider		48
Apples			52
Apricots		48
Apricots, dried		241
Artichokes (French)	53
Asiago cheese		357
Asparagus		22
Avocado			160
Avocado oil		857

Bacon			542
Banana			89
Beef, ground		259
Beets			44
Berries			30-60... (just a quick sample of berries)
Black beans		77
Black radish		18
Blue cheese		353
Bok Choy		14
Brazil nuts		685
Brick cheese		371
Brie cheese		334
Broccoli		35
 Brussel sprouts		38
Butter			717

Cabbage			23
Camembert cheese	300
Canola oil		884
Cantaloupe		34
Capers			23
Carrots			41
Cashews			551
Cauliflower		23
Celeriac		27
Celery			18
Chard			19
Cheddar cheese		403
Cherimoya		74
Cherries		63
Chestnuts		131
Chicken			165
Cilantro		5
Clams			74
Coconut, shredded	661
Coconut milk		230
Coconut oil		862
Collard greens		31
Colby cheese		394
Corn oil		800
Courgette		43
Crab			97
Cranberry juice		31
Cucumber		15
Custard apple		74

Dates			117
Dates, dried		300
Dry curd cottage cheese 85
Duck			201

Edam cheese		357
Eggplant		33
Egg			155

Filberts (hazelnuts)	629
Figs			73
Figs, dried		229
Fish			100-400 :)  need more investigation
Flax seed oil		857
Fowl			under investigation

Garlic			149
Ghee			717 (I guess it's about the same as butter..)
Gin, 40%		224
Ginger			79
Gorgonzola cheese	368
Goose			238
Gouda cheese		357
Grape juice		71
Grapefruit		42
Grapes			67
Grapeseed oil		884
Gruyere cheese		413

Ham			163
Haricot beans		97
Havarti cheese		393
Hazelnuts (filberts)	629
Homemade yoghurt	depends on what you make it from.. (50-60?)
Honey			307
Horseradish sauce	depends..

Jalapenos		27

Kale			28
Kefir			67
Kidney beans		84
Kimchi			28 (this depends on what's in it...)
Kiwi fruit		61
Kumquats		68

Lamb, ground		284
Leek			61
Lemons			29
Lentils			104
Lettuce (iceberg)	15
Lima beans		63
Limburger cheese	327
Limes			30
Lobster			98

Macadamia nuts		718
Macadamia oil		not found, but I guess 800-900 :)
Manchego cheese		not found, see other cheeses for estimate..
Mangos			65
Mead			not found
Melon, cantaloupe	34
Melon, honeydew		36
Melon, watermelon	30
Monterey Jack cheese	357
Muenster cheese		368
Mushrooms		lotsa different mushrooms...

Navy beans, cooked	140
Nectarines		44

Olive oil		883
Olives			100
Onions			40
Orange juice		45
Oranges			47
Oysters			68

Papayas			39
Paprika			22
Parmesan cheese		392
Parsley			37
Passion fruit		100
Peaches			39
Peanut butter		594
Peanut oil		884
Peanuts			567
Pears			58
Peas, green		78
Pecans			691
Peppers			22
Persimmons		70
Pheasant		133
Pickles			12
Pigeon			142
Pine nuts		660
Pineapple		50
Pineapple juice		50
Pistachio nuts		557
Plums			46
Pork			143
Pork rinds		571
Port du Salut cheese	352
Provolone cheese	351
Prunes			240
Pumpkin			20

Rasins			299
Rhubarb			21
Romano cheese		389
Roquefort cheese	367
Rutabaga		39

Safflower oil		884
Sashimi			157
Sauerkraut		19
Scotch, whiskey 40%	224
Sesame oil		884
Sharifa			74
Shrimp			95
Spinach			23
Split peas		116
Squash, summer		16
Squash, winter		37
Stilton cheese		393
String beans		30
Sunflower oil		800
Swede			39
Swiss cheese		380

Tangerines		53
Tarragon, fresh		50
Tomato juice		17
Tomatoes		18
Turkey			105

Vinegar, cider		21
Vodka, 40%		224
Walnuts			636
Walnut oil		884
Wasabi			109
Water chestnuts		38
Watercress		12
Watermelon		30
Wine			85

Yoghurt (homemade)	depends

Zucchini		43
